date,km,litres,price_per_litre,total_cost,notes
2001-02-19,139000,27.356,0.779,21.31,
2001-03-05,139362,26.240,0.741,19.44,
2001-03-16,139792,26.837,0.813,21.82,
2001-03-03,140226,12.127,0.825,10.00,
2001-04-05,140431,11.558,0.865,10.00,
2001-04-12,140624,11.148,0.897,10.00,
2001-04-13,140650,00.000,0.765,04.00,
2001-04-18,140878,11.003,0.909,10.00,
2001-04-23,141141,17.459,0.862,15.05,
2001-04-29,141400,22.604,0.887,20.05,
2001-05-14,141831,23.017,0.869,20.00,
2001-05-25,142239,27.809,0.899,25.00,
2001-06-06,142690,30.597,0.817,25.00,
2001-06-11,143279,28.194,0.842,23.74,
2001-06-22,143745,26.961,0.816,22.00,
2001-07-29,144205,26.893,0.623,16.75,
2001-08-10,144695,30.000,0.699,21.00,
2001-08-18,145177,00.000,0.678,21.16,
2001-08-30,145685,00.000,0.695,20.00,
2001-09-12,146193,28.100,0.819,23.00,
2001-09-24,146661,00.000,0.707,22.22,
2001-10-05,147154,00.000,0.667,21.52,
2001-10-16,147642,29.800,0.739,22.00,
2001-10-29,148099,00.000,0.580,17.46,
2001-11-09,148556,27.897,0.681,19.00,
2001-11-20,149004,33.400,0.599,20.00,
2001-12-19,149353,24.724,0.649,16.05,
2002-01-06,149739,25.410,0.659,16.75,
2002-01-29,150117,21.740,0.699,15.20,
2002-02-09,150352,24.280,0.659,16.00,
2002-02-28,150738,23.951,0.691,16.55,
2002-03-15,151092,24.928,0.783,19.52,
2002-03-27,151484,12.718,0.787,10.01,
2002-03-31,151738,27.058,0.739,20.00,
2002-04-16,152136,07.354,0.681,05.01,
2002-04-18,152136,00.000,0.677,15.62,
2002-05-08,152495,00.000,0.673,19.95,
2002-05-26,152892,29.497,0.669,19.73,
2002-06-01,153315,00.000,0.721,17.01,
2002-06-08,153720,20.089,0.772,15.51,
2002-06-16,154034,06.199,0.647,04.01,
2002-06-17,154139,13.556,0.743,10.07,
2002-06-22,154487,13.289,0.754,10.02,
2002-06-26,154641,13.172,0.759,10.00,
2002-07-02,154843,06.596,0.758,05.00,
2002-07-05,155038,13.213,0.757,10.00,
2002-07-11,155259,13.346,0.749,10.00,
2002-07-20,155715,26.241,0.762,20.00,
2002-07-23,156102,13.993,0.715,15.00,
2002-07-25,156194,07.225,0.694,05.01,
2002-08-02,156409,12.516,0.799,10.00,
2002-08-04,156604,14.514,0.689,10.00,
2002-09-11,156879,13.177,0.759,08.00,
2002-09-22,157020,21.185,0.779,16.50,
2002-12-07,157359,24.492,0.725,17.76,
2003-01-25,157664,26.100,0.820,21.46,
2003-02-01,157959,25.044,0.759,19.01,
2003-02-07,158301,27.300,0.989,27.00,
2003-02-13,158597,25.228,0.788,22.40,
2003-02-18,158843,23.010,0.869,20.00,
2003-02-24,159142,22.492,0.887,19.95,
2003-03-03,159472,22.753,0.879,20.00,
2003-03-07,159741,26.802,0.869,23.29,
2003-03-07,159963,18.001,0.889,16.00,
2003-03-08,160265,24.356,0.909,22.14,
2003-03-09,160862,30.078,0.846,25.45,
2003-03-28,161083,26.580,0.799,21.24,
2003-04-03,161428,00.000,0.677,17.76,
2003-04-08,161780,26.460,0.759,20.08,
2003-04-15,162155,23.695,0.749,17.75,
