date,km,litres,price_per_litre,total_cost,notes
2004-10-22,051902,46.953,0.852,40.00,
2004-10-24,052427,35.030,0.885,31.00,
2004-11-06,053434,42.036,0.817,34.34,
2004-11-08,054024,46.809,0.769,36.00,
2004-11-17,054540,49.669,0.745,37.00,
2004-11-30,055018,46.616,0.759,35.38,
2004-12-08,055327,34.544,0.739,25.53,
2004-12-21,055658,25.101,0.797,20.01,
2004-12-31,055989,45.687,0.788,36.00,
2005-01-11,056442,19.417,0.799,15.51,
2005-01-17,056629,45.624,0.789,36.00,
2005-01-26,057006,25.219,0.881,22.22,
2005-01-31,057246,25.186,0.883,22.24,
2005-02-03,057496,44.609,0.815,36.36,
2005-02-15,057861,37.293,0.858,32.00,
2005-02-23,058326,11.900,0.849,10.10,
2005-02-28,058393,42.155,0.854,36.00,
2005-03-06,058880,23.307,0.901,21.00,
2005-03-11,059094,24.344,0.913,22.23,
2005-03-17,059383,49.362,0.923,45.56,
2005-04-06,060385,44.829,0.937,42.00,
2005-04-11,060933,23.817,0.883,21.03,
2005-04-15,061161,43.384,0.922,40.00,
2005-04-24,061727,34.216,0.974,33.33,
2005-04-29,062121,47.223,0.941,44.44,
2005-05-06,062626,32.822,0.914,30.00,
2005-05-13,063062,47.295,0.897,42.42,
2005-05-20,063595,44.493,0.908,40.40,
2005-05-29,064157,47.108,0.922,43.43,
2005-05-31,064843,32.619,0.929,30.30,
2005-06-04,065291,48.891,0.909,44.44,
2005-06-15,065843,45.305,1.003,45.44,
2005-06-21,066409,46.247,0.939,43.43,
2005-06-29,066942,19.586,1.023,20.04,
2005-07-04,067130,41.087,0.949,38.99,
2005-07-14,067735,30.737,0.986,30.31,
2005-07-19,068071,44.972,0.966,43.44,
2005-07-26,068672,47.399,0.959,45.46,
2005-08-02,069262,47.775,0.909,43.43,
2005-08-12,069784,46.434,1.077,50.01,
2005-08-22,070349,44.868,1.013,45.45,
2005-09-19,070849,44.782,1.006,45.05,
2005-09-30,071346,45.677,1.139,52.03,
2005-10-13,071807,44.513,0.949,42.24,
2005-10-31,072273,46.546,0.907,42.22,
2005-11-10,072759,46.170,0.888,41.00,
2005-11-18,073263,45.774,0.852,39.00,
2005-12-05,073710,45.912,0.902,41.41,
2005-12-15,074099,43.859,0.912,40.00,
2005-12-29,074563,47.566,0.904,43.00,
2006-01-07,075058,47.388,0.959,45.45,
2006-01-14,075449,41.020,0.885,36.30,
2006-01-15,076006,42.047,0.987,41.50,
2006-01-20,076522,44.781,0.938,42.00,
2006-02-01,076999,48.334,0.869,42.00,
2006-02-13,077467,46.514,0.817,38.00,
2006-02-24,077925,46.397,0.819,38.00,
2006-03-01,078913,48.558,0.865,42.00,
2006-03-10,079380,36.427,0.915,33.33,
2006-03-17,079816,47.893,0.949,45.45,
2006-03-18,080227,30.957,0.969,30.00,
2006-03-25,080784,45.506,0.879,40.00,
2006-04-05,081269,44.993,0.978,44.00,
2006-04-17,081752,47.050,0.999,47.00,
2006-04-29,082256,46.046,0.999,46.00,
2006-05-09,082775,46.186,0.996,46.00,
2006-05-23,083270,46.703,0.985,46.00,
2006-05-31,083810,46.725,1.006,47.01,
2006-06-13,084314,47.434,1.022,48.48,
2006-06-26,084848,45.855,1.025,47.00,
2006-07-12,085420,47.584,1.052,50.06,
2006-07-22,085959,14.538,1.059,15.40,
2006-07-26,086135,27.662,1.096,30.32,
2006-08-02,086399,19.661,1.131,22.24,
2006-08-10,086726,48.611,1.018,49.49,
2006-08-18,087178,37.619,0.959,36.08,
2006-08-26,087640,37.943,0.949,36.01,
2006-09-07,088141,41.483,0.892,37.00,
2006-09-16,088660,44.515,0.876,39.00,
2006-09-16,089159,35.166,0.833,29.29,
2006-09-27,089713,42.979,0.799,34.34,
2006-09-30,090345,47.445,0.868,41.18,
2006-10-04,090968,45.078,0.843,38.00,
2006-10-17,091479,45.586,0.864,39.39,
2006-10-24,091976,45.610,0.775,35.35,
2006-11-06,092512,46.564,0.846,39.39,
2006-11-17,093009,45.492,0.866,39.40,
2006-11-27,093454,40.892,0.807,33.00,
2006-12-06,093862,39.985,0.883,35.31,
2006-12-15,094328,47.461,0.906,43.00,
2006-12-27,094833,47.029,0.902,42.42,
2007-01-06,095357,47.053,0.850,40.00,
2007-01-13,095834,47.900,0.759,36.36,
2007-01-24,096265,45.895,0.828,38.00,
2007-02-01,096677,29.036,0.861,25.00,
