date,km,litres,price_per_litre,total_cost,notes
2004-11-19,247618,28.804,0.825,23.76,
2004-11-26,248006,32.017,0.798,25.55,
2004-12-05,248399,33.387,0.729,24.34,
2004-12-18,248773,33.874,0.808,27.37,
2004-12-23,249024,21.893,0.832,18.21,
2004-12-24,249487,31.654,0.769,24.34,
2004-12-27,249700,16.898,0.777,13.13,
2005-01-03,250096,25.945,0.779,20.21,
2005-01-14,250393,24.790,0.819,20.30,
2005-01-15,250857,35.748,0.794,28.38,
2005-01-17,251432,37.119,0.789,29.29,
2005-02-01,251741,31.757,0.859,27.28,
2005-02-24,252090,29.900,0.769,22.22,
2005-02-27,252593,33.243,0.851,28.29,
2005-03-01,253138,29.593,0.819,24.24,
2005-03-18,253463,31.517,0.909,28.65,
2005-03-24,253893,28.769,0.869,25.00,
2005-03-27,254362,24.750,0.899,22.25,
2005-04-04,254849,32.711,0.917,30.00,
2005-04-19,255245,30.454,0.839,25.55,
2005-05-10,255575,25.052,0.887,22.22,
2005-06-09,255809,16.340,0.899,14.69,
2005-06-10,256344,10.659,0.939,10.01,
2005-06-12,256490,28.183,1.029,29.00,
2005-06-16,256990,31.215,0.897,28.00,
2005-07-13,257451,18.483,0.929,17.17,
2005-07-22,257754,32.253,0.886,28.58,
2005-08-07,258328,34.407,0.959,33.00,
2005-08-15,258875,32.055,0.999,32.02,
2005-08-29,259370,32.351,0.989,32.00,
2005-09-19,259830,26.642,0.959,25.55,
2005-10-07,260019,17.099,0.994,17.00,
2005-10-09,260476,25.166,0.979,24.64,
2005-10-11,260840,24.546,1.019,25.01,
2005-10-16,261383,31.280,0.959,30.00,
2005-10-20,261877,30.229,0.969,29.29,
2005-11-09,262313,37.525,0.865,32.46,
2005-11-28,262693,28.806,0.849,24.46,
2005-12-06,263060,30.765,0.837,25.75,
2005-12-25,263231,16.309,0.867,14.14,
2005-12-26,263753,34.900,0.889,31.00,
2005-12-28,263980,14.860,0.942,14.00,
2006-01-05,264412,31.610,0.949,30.00,
2006-02-03,264731,28.519,0.825,23.53,
2006-02-18,265064,35.742,0.859,30.70,
2006-04-06,265433,37.434,0.901,33.73,
2006-05-09,265890,34.740,0.875,30.40,
2006-05-15,266453,35.081,0.979,34.34,
2006-05-19,266985,30.706,0.977,30.00,
2006-05-22,267712,41.365,0.906,37.48,
2006-06-18,268138,29.679,0.989,29.35,
2006-07-04,268612,30.138,1.017,30.65,
2006-08-01,269060,33.601,1.039,34.91,
2006-08-26,269487,24.478,0.949,23.23,
2007-01-19,270995,29.820,0.779,23.23,
2007-01-20,271395,23.837,0.755,18.00,
2007-01-29,271904,37.005,0.819,30.31,
2007-03-27,272293,29.438,1.019,30.00,
2007-05-23,272651,30.707,1.059,32.52,
2007-07-28,273016,30.987,0.978,30.31,
