date,km,litres,price_per_litre,total_cost
2003-06-21,262215,19.418,0.689,13.38
2003-06-26,262550,27.676,0.727,20.12
2003-07-01,262912,31.160,0.779,24.27
2003-07-05,263325,31.537,0.757,23.87
2003-07-11,263741,31.914,0.799,25.50
2003-07-14,264165,27.452,0.839,23.03
2003-07-22,264505,35.019,0.829,29.03
2003-08-02,265350,32.222,0.825,26.58
2003-08-07,265736,30.530,0.819,25.00
2003-08-12,266043,27.447,0.849,23.30
2003-08-18,266361,25.752,0.739,19.03
2003-08-22,266715,25.197,0.795,20.03
2003-08-28,267029,26.298,0.849,22.33
2003-09-07,267429,00.000,0.834,23.97
2003-09-18,267743,27.155,0.819,22.24
2003-09-26,267966,19.368,0.757,14.66
2003-10-03,268252,17.310,0.809,14.00
2003-10-10,268445,27.800,0.799,22.21
2003-10-21,268817,34.682,0.753,26.12
2003-10-27,269116,30.041,0.699,21.00
2003-11-14,269394,28.748,0.759,21.82
2003-11-20,269650,25.711,0.739,19.00
2003-12-05,269898,25.440,0.669,17.02
2003-12-09,270227,25.518,0.715,18.25
2003-12-09,270606,31.892,0.697,22.23
2003-12-19,270788,18.687,0.819,15.30
2003-12-29,271031,22.608,0.709,16.03
2004-01-05,271260,20.738,0.757,15.70
2004-01-23,271471,29.300,0.783,22.94
2004-01-23,271731,23.452,0.815,19.11
2004-01-25,271915,16.093,0.825,13.28
2004-01-25,272188,26.185,0.804,21.05
2004-01-28,272421,24.038,0.779,18.73
2004-02-09,272724,31.435,0.809,25.43
2004-02-22,273055,35.261,0.779,27.47
2004-03-04,273216,19.511,0.769,15.00
2004-03-04,273554,24.409,0.797,19.45
2004-03-07,273916,29.420,0.838,24.65
2004-03-14,274300,30.761,0.799,24.58
2004-03-29,274624,31.230,0.749,23.39
2004-04-16,274952,33.536,0.805,27.00
2004-04-23,275090,12.805,0.799,10.23
2004-04-25,275514,29.716,0.695,20.65
2004-04-28,275973,37.422,0.815,30.50
2004-05-07,276296,27.135,0.947,25.70
2004-05-09,276720,30.272,0.845,25.58
2004-05-12,277178,31.555,0.869,27.42
2004-06-14,277918,37.617,0.869,32.69
2004-06-25,278327,34.298,0.879,30.15
2004-07-02,278680,13.388,0.747,10.00
2004-07-10,278806,26.678,0.879,23.45
2004-07-16,27????,28.767,0.895,25.75
2004-07-18,279572,30.870,0.786,24.26
2004-07-22,280046,33.775,0.829,28.00
2004-09-04,280381,35.331,0.849,30.00
2004-10-28,280749,34.992,0.802,28.06
2005-01-28,28????,26.033,0.775,20.18
2005-02-11,281439,41.012,0.797,32.69
2006-09-24,291326,40.113,0.831,33.33
2006-10-20,291824,42.137,0.815,34.34
2006-11-10,292288,41.395,0.773,32.00
2006-11-25,292625,30.775,0.845,26.00
